		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	LABELS	Flush Toilet	Piped Water Inside	Electric Cooking	Electric Lighting	Single House	Owns House	No. Rooms	Household Size	Households per m2	People per m2	Piped Water Inside	Electric Cooking	Electric Lighting	Single House	Owns House	No. Rooms	Household Size	Households per m2	People per m2
																				
gr_1_post_treat		0.473***	0.410***	0.724***	0.554***	0.443***	0.332***	1.150***	0.227***	-0.00131*	-0.00200									
		(0.0651)	(0.0676)	(0.0640)	(0.0687)	(0.0595)	(0.0582)	(0.183)	(0.0836)	(0.000676)	(0.00138)									
gr_2_post_treat		0.159***	0.0401	0.170***	0.0970**	0.0717	-0.100*	0.329**	0.127**	0.000272	0.000770									
		(0.0448)	(0.0452)	(0.0482)	(0.0436)	(0.0506)	(0.0513)	(0.160)	(0.0642)	(0.000204)	(0.000519)									
gr_1_post		-0.277***	-0.157***	-0.222***	-0.255***	-0.219***	-0.0671***	-0.834***	-0.547***	0.00241***	0.00424***									
		(0.0449)	(0.0466)	(0.0492)	(0.0464)	(0.0405)	(0.0249)	(0.122)	(0.0671)	(0.000576)	(0.00118)									
gr_2_post		0.0212	0.110***	0.114***	0.0579*	0.0423	0.320***	0.0609	-0.295***	0.000428***	0.000829***									
		(0.0267)	(0.0228)	(0.0321)	(0.0305)	(0.0312)	(0.0337)	(0.117)	(0.0434)	(0.000115)	(0.000290)									
gr_1_treat		-0.252***	-0.312***	-0.450***	-0.302***	-0.198***	-0.237***	-0.820***	0.133**	-0.000393**	-0.000625*									
		(0.0615)	(0.0373)	(0.0600)	(0.0639)	(0.0573)	(0.0434)	(0.128)	(0.0605)	(0.000170)	(0.000352)									
gr_2_treat		-0.145***	-0.0374	-0.0931**	-0.0505	-0.0181	0.130***	-0.248*	0.143**	-0.000270	-0.000425									
		(0.0398)	(0.0404)	(0.0376)	(0.0394)	(0.0483)	(0.0355)	(0.142)	(0.0704)	(0.000292)	(0.000767)									
gr_2		-0.0561**	-0.120***	-0.155***	-0.125***	-0.0626*	-0.294***	-0.476***	-0.153**	-0.000706***	-0.00214***									
		(0.0258)	(0.0274)	(0.0289)	(0.0262)	(0.0318)	(0.0246)	(0.108)	(0.0616)	(0.000187)	(0.000458)									
project_rdp_post	project_rdp_post											0.0453	0.320***	0.178***	0.130***	-0.0606	0.0722	-0.0290	0.000551	0.00142*
												(0.0347)	(0.0360)	(0.0408)	(0.0371)	(0.0469)	(0.111)	(0.0728)	(0.000438)	(0.000848)
project_placebo_post	project_placebo_post											-0.109***	-0.00815	-0.000743	-0.0188	0.0205	-0.0228	0.129***	0.000525	0.00146**
												(0.0220)	(0.0313)	(0.0273)	(0.0295)	(0.0258)	(0.0860)	(0.0443)	(0.000355)	(0.000653)
spillover_rdp_post	spillover_rdp_post											0.0158	0.0177	-0.0204	0.0273	-0.0264	-0.0170	-0.0149	-0.000215	-0.000561
												(0.0192)	(0.0250)	(0.0186)	(0.0229)	(0.0286)	(0.0669)	(0.0341)	(0.000301)	(0.000742)
post	post											0.182***	0.118***	0.0757***	0.0561***	0.302***	0.237***	-0.292***	0.000471***	0.000676***
												(0.0122)	(0.0169)	(0.0121)	(0.0159)	(0.0187)	(0.0334)	(0.0251)	(7.98e-05)	(0.000170)
project_rdp	project_rdp											-0.133***	-0.314***	-0.204***	-0.109**	-0.0510	-0.564***	-0.0158	-0.000393*	-0.000929*
												(0.0436)	(0.0511)	(0.0536)	(0.0494)	(0.0446)	(0.124)	(0.0708)	(0.000213)	(0.000487)
project_placebo	project_placebo											-0.0556	-0.227***	-0.240***	-0.183***	-0.206***	-0.713***	-0.591***	0.000665*	0.000103
												(0.0372)	(0.0321)	(0.0319)	(0.0357)	(0.0270)	(0.0960)	(0.0723)	(0.000355)	(0.000539)
spillover_rdp	spillover_rdp											0.00821	0.00879	0.0373	0.0266	0.0110	0.0138	0.102	0.000172	0.000692
												(0.0317)	(0.0324)	(0.0303)	(0.0411)	(0.0312)	(0.121)	(0.0714)	(0.000325)	(0.000852)
Constant	Constant	0.842***	0.522***	0.799***	0.851***	0.606***	0.692***	3.681***	3.231***	0.00261***	0.00791***	0.375***	0.742***	0.815***	0.587***	0.544***	3.477***	3.470***	0.00241***	0.00790***
		(0.00832)	(0.00777)	(0.00827)	(0.00792)	(0.00925)	(0.00420)	(0.0240)	(0.0105)	(5.11e-05)	(0.000128)	(0.0210)	(0.0169)	(0.0165)	(0.0190)	(0.0161)	(0.0619)	(0.0372)	(0.000148)	(0.000319)
																				
Observations		4,553,174	4,553,174	4,553,174	4,553,174	4,326,319	4,406,376	4,237,013	4,517,781	21,671	21,671	3,755,967	3,755,967	3,755,967	3,571,834	3,632,442	3,516,221	3,723,695	17,523	17,523
R-squared		0.270	0.164	0.192	0.192	0.116	0.060	0.135	0.050	0.275	0.286	0.158	0.239	0.226	0.128	0.147	0.135	0.057	0.353	0.374
Project FE		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
Standard errors are clustered at the project level.																				
