		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	Flush Toilet	Piped Water Inside	Electric Cooking	Electric Lighting	Single House	Owns House	No. Rooms	Household Size	Households per m2	People per m2
											
spillover	spillover	0.00206	-0.0758***	-0.0190	-0.0276	-0.0275	-0.00471	-0.218***	0.0917*	0.000160	0.000695
		(0.0222)	(0.0206)	(0.0247)	(0.0283)	(0.0296)	(0.0224)	(0.0665)	(0.0494)	(0.000321)	(0.000851)
project	project	-0.211***	-0.130***	-0.269***	-0.272***	-0.208***	-0.217***	-0.936***	-0.516***	0.000856*	0.000834
		(0.0397)	(0.0412)	(0.0402)	(0.0396)	(0.0414)	(0.0319)	(0.127)	(0.0836)	(0.000479)	(0.000884)
spillover_rdp	spillover_rdp	-0.00225	-0.0228	-0.00104	0.0293	0.0427	0.0149	-0.0935	0.131**	0.000569	0.00205
		(0.0354)	(0.0373)	(0.0318)	(0.0323)	(0.0396)	(0.0282)	(0.143)	(0.0623)	(0.000521)	(0.00161)
project_rdp	project_rdp	-0.0185	-0.0826	-0.0898	0.0231	0.0867	0.151***	0.0883	0.525***	-0.000795	-0.000298
		(0.0587)	(0.0525)	(0.0561)	(0.0550)	(0.0614)	(0.0432)	(0.149)	(0.115)	(0.000523)	(0.000996)
post	post	0.0215	0.149***	0.0607***	0.0417***	0.0266**	0.319***	0.347***	-0.186***	-0.000164	-0.000651
		(0.0144)	(0.0121)	(0.0152)	(0.0135)	(0.0134)	(0.0374)	(0.0416)	(0.0299)	(0.000321)	(0.000735)
spillover_post	spillover_post	0.0172	0.0336**	0.0405**	0.0282	0.0297*	-0.0102	-0.0959**	-0.0936***	0.000577*	0.00126*
		(0.0179)	(0.0150)	(0.0168)	(0.0191)	(0.0157)	(0.0321)	(0.0445)	(0.0322)	(0.000295)	(0.000679)
project_post	project_post	-0.0244	-0.0897***	0.0376	0.0208	0.00433	0.00691	-0.122	0.0490	0.00103**	0.00253***
		(0.0282)	(0.0234)	(0.0323)	(0.0280)	(0.0278)	(0.0345)	(0.0920)	(0.0482)	(0.000474)	(0.000951)
spillover_rdp_post	spillover_rdp_post	0.0236	0.00930	0.0248	-0.0196	0.0239	-0.0309	-0.0187	-0.0118	-0.000262	-0.000779
		(0.0225)	(0.0187)	(0.0240)	(0.0197)	(0.0232)	(0.0269)	(0.0647)	(0.0353)	(0.000349)	(0.000912)
project_rdp_post	project_rdp_post	0.182***	0.145***	0.323***	0.184***	0.146***	-0.0676	0.169	-0.0914	-0.000169	-0.000462
		(0.0416)	(0.0344)	(0.0449)	(0.0412)	(0.0467)	(0.0461)	(0.153)	(0.0973)	(0.000690)	(0.00114)
Constant	Constant	0.836***	0.497***	0.779***	0.851***	0.595***	0.542***	3.798***	3.300***	0.00210***	0.00652***
		(0.0217)	(0.0218)	(0.0249)	(0.0251)	(0.0250)	(0.0252)	(0.0874)	(0.0461)	(0.000276)	(0.000729)
											
Observations		4,603,181	4,603,181	4,603,181	4,603,181	4,374,511	4,455,014	4,283,738	4,567,545	21,923	21,923
R-squared		0.282	0.192	0.221	0.216	0.126	0.153	0.151	0.055	0.274	0.288
Project FE		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
Standard errors are clustered at the project level.											
